Country,5-14 years,15-24 years,25-34 years,35-54 years,55-74 years,75+ years
Albania,19.09,198.58,188.12,160.21,136.17,222.59
Antigua and Barbuda,0,0,15,63.41,100.73,0
Argentina,42.32,548.56,482.95,528.95,820.51,1471.3
Armenia,9.42,62.41,108.82,163.4,247.45,384.71
Aruba,0,113.78,366.43,270.93,297.85,547.53
Australia,23.68,783.34,1028.66,982.41,809.6,1049.72
Austria,31.26,807.17,1027.35,1458.21,1904.17,3848.07
Azerbaijan,7,41.57,52.05,72.42,85.89,97.31
Bahamas,6.97,57.36,83.02,118.16,46.41,32.36
Bahrain,5.31,71.48,196.75,133.51,60.19,0
Barbados,8.86,96.3,189.87,249.6,208.75,137.75
Belarus,49.02,740.58,1405.27,1860.33,1871.59,1904.34
Belgium,34.98,671.13,1168.43,1682.52,1649.54,2693.9
Belize,32.85,348.94,422.29,425.68,365.69,498.04
Bosnia and Herzegovina,0.44,2.99,9.2,23.37,26.49,48.32
Brazil,17.63,268.25,359.45,396.54,448.08,684.77
Bulgaria,56.84,443.29,575.34,894.76,1450.27,3595.58
Cabo Verde,5.24,10.49,18.62,42.32,16.8,40.37
Canada,50.03,747.45,856.35,1002.4,826.26,856.23
Chile,40.22,585.59,706.33,730.13,801.79,1057.58
Colombia,45.15,457.82,371.78,287.98,359.99,486.67
Costa Rica,32.23,435.06,533.95,543.54,467.25,541.69
Croatia,27.53,443.19,538.84,934.51,1471.47,2567.3
Cuba,24.54,411.84,601.84,856.75,1427.94,2789.04
Cyprus,0,87.77,132.62,142.3,125.56,98.01
Czech Republic,28.2,491.56,714.35,1141.56,1205.41,2371.91
Denmark,11.82,265.03,427.21,740.16,856.46,1420.97
Dominica,0,0,0,0,0,0
Ecuador,74.15,616.13,489.68,357.08,367.63,440.54
El Salvador,45.58,769.25,738.77,511.87,413.8,556.67
Estonia,54.77,702.75,956.32,1489.25,1541.47,2129.22
Fiji,10.7,106.39,111.64,84.22,100.22,260.69
Finland,30.08,1154.92,1573.3,1858.51,1614.24,1693.06
France,23.16,488.96,1020.98,1548.74,1592.85,3128.56
Georgia,9.75,99.97,142.56,168.37,276.67,419.06
Germany,19.51,373.89,549.19,815.98,1013.32,2082.8
Greece,6.4,140.24,243.65,271.28,333.07,517.48
Grenada,7.79,34.52,123.91,156.96,210.17,127.65
Guatemala,18.33,232.71,241.57,222.95,175.84,255.3
Guyana,100.32,1224.28,1486.49,1469.41,1251.63,1123.79
Hungary,24.5,496.08,983.24,2113.02,2292.21,4247.02
Iceland,27.76,890.05,1015.55,998.95,1178.23,779.2
Ireland,28.09,793.33,930.05,877.45,793.06,459.75
Israel,15.51,350.55,422.96,496.42,708.63,1335.9
Italy,13.22,230.8,381.58,483.25,719.24,1340.78
Jamaica,4.13,13.19,19.32,18.84,23.76,27.2
Japan,32.28,690.99,1146.8,1600.46,1936.97,2617.73
Kazakhstan,135.51,1304.36,1896.83,1984.87,1936.14,2261.81
Kiribati,59.29,341.27,149.18,166.82,161.95,0
Kuwait,3.08,68.15,142.85,98.24,43.61,0
Kyrgyzstan,85.43,560.25,763.69,940.51,984.93,1122.49
Latvia,36.15,654.99,1124.03,1663.36,1733.23,2161.59
Lithuania,52.75,1127.17,1745.96,2696.75,2496.04,2470.21
Luxembourg,39.6,562,794.91,1163.87,1389.66,2206.52
Macau,0,8.64,13.36,19.06,26.33,104.35
Maldives,6.07,15.32,16.82,23.41,0,102.46
Malta,9.89,242.82,388.16,427.82,332.17,471.15
Mauritius,61.05,868.41,1113.93,950.66,716.12,754.41
Mexico,34.38,321.38,323.27,289.31,300.09,482.76
Mongolia,,40.91,48.82,37.5,26.21,30.95
Montenegro,11.59,42.77,112.2,182.59,299.77,545.11
Netherlands,19.49,384.04,662.15,888.11,903.64,1209.09
New Zealand,55.21,1189.74,1102.3,902.7,786.12,972.25
Nicaragua,13.1,115.7,107.95,80.59,79.68,75.8
Norway,44.47,786.99,906.6,979.58,992.63,948.49
Oman,0,1.88,2.48,1.83,1.8,18.51
Panama,21.17,300.46,336.71,291.65,330.16,463.91
Paraguay,38.48,315.77,220.27,212.12,243.31,336.42
Philippines,4.87,85.21,83.43,67.29,73.8,121.23
Poland,32.99,521.54,705.05,1134.44,1090.06,913.54
Portugal,12.52,201.03,353.73,485.88,827.26,1792.94
Puerto Rico,17.45,312.64,617,804.85,848.49,1188.85
Qatar,1.63,67.96,69.94,76.26,36.18,66.18
Republic of Korea,43.08,633.32,1061.54,1311.87,2006.38,4294.26
Romania,43.9,356.76,561.88,1018.29,1074.94,1115.78
Russian Federation,95.56,1368.26,2114.97,2378.83,2321.51,3026
Saint Kitts and Nevis,0,0,0,0,0,0
Saint Lucia,27.29,273,464.39,526.56,553.6,575.28
Saint Vincent and Grenadines,29.57,180.17,373.9,456.68,221.28,465.03
San Marino,0,0,47.26,25.01,73.35,0
Serbia,9.85,232.17,394.96,667.65,1102.59,2380.23
Seychelles,14.33,202.75,254.65,462.13,272.29,409.55
Singapore,36.77,463.81,638.21,716.25,1112.41,3373.53
Slovakia,16.26,273.91,440.87,810.73,798.16,978.23
Slovenia,32.87,540.33,754.2,1305.94,1751.25,2628.03
South Africa,3.2,40.6,50.67,41.15,33.92,61.95
Spain,14.11,255.84,404.3,521.09,766.77,1546.95
Sri Lanka,40.79,824.57,875.97,807.43,849.68,1260.52
Suriname,129.6,1088.83,1409.4,1331.69,1229.38,1973.42
Sweden,24.3,588.17,822.85,1108.39,1170.17,1533.84
Switzerland,16.91,455.84,535.88,781.71,1050.97,1952.76
Thailand,20.2,417.9,541.03,457.11,454.62,471.81
Trinidad and Tobago,51.88,723.67,1015.6,902.14,830.84,955.38
Turkey,4.56,34.28,32.54,33.86,37.11,56.82
Turkmenistan,45.98,604.17,627.62,619.42,516.75,580.79
Ukraine,65.16,784.45,1398.59,1933.55,2081.43,2668.48
United Arab Emirates,0.63,19.25,22.02,19.26,24.27,9.46
United Kingdom,6.58,367.9,608.04,675.29,527.21,605.9
United States,45.47,703.45,878.69,994.52,988.47,1530.37
Uruguay,39.26,680.9,845.14,976.27,1437.69,2559.7
Uzbekistan,47.45,376.46,436.28,484.06,416.46,377.46
